iter	Passed	Remaining
0	1	6077
1	5	16723
2	6	13862
3	12	18564
4	13	16642
5	14	14803
6	15	13210
7	16	12090
8	16	11027
9	17	10300
10	20	11008
11	20	10275
12	21	9694
13	21	9186
14	23	9200
15	23	8831
16	24	8505
17	32	10768
18	32	10368
19	33	10070
20	39	11301
21	43	11729
22	44	11655
23	48	11967
24	51	12377
25	53	12258
26	53	11899
27	54	11562
28	54	11244
29	55	10972
30	55	10715
31	61	11403
32	64	11623
33	73	12839
34	75	12809
35	83	13805
36	83	13497
37	87	13662
38	88	13544
39	89	13265
40	89	12992
41	95	13545
42	99	13717
43	102	13911
44	103	13646
45	104	13491
46	105	13317
47	105	13130
48	108	13215
49	109	13082
50	111	12955
51	111	12772
52	112	12622
53	120	13273
54	120	13073
55	121	12884
56	121	12717
57	122	12550
58	125	12633
59	128	12728
60	132	12908
61	132	12732
62	133	12589
63	138	12801
64	138	12650
65	147	13247
66	147	13092
67	153	13395
68	157	13558
69	164	13938
70	172	14429
71	173	14278
72	173	14116
73	174	13980
74	175	13856
75	175	13704
76	179	13793
77	179	13651
78	182	13714
79	183	13575
80	183	13432
81	186	13473
82	192	13711
83	193	13659
84	197	13753
85	198	13641
86	199	13556
87	207	13949
88	208	13817
89	208	13689
90	208	13560
91	209	13480
92	220	14017
93	224	14114
94	232	14443
95	235	14502
96	238	14531
97	242	14584
98	245	14648
99	246	14531
100	246	14410
101	252	14615
102	255	14644
103	261	14828
104	262	14728
105	266	14805
106	267	14726
107	270	14756
108	271	14666
109	275	14731
110	276	14650
111	276	14542
112	282	14694
113	283	14645
114	295	15147
115	296	15034
116	296	14928
117	300	14955
118	300	14852
119	300	14747
120	301	14641
121	306	14775
122	307	14679
123	308	14596
124	311	14647
125	312	14546
126	317	14700
127	319	14637
128	322	14691
129	325	14712
130	326	14624
131	332	14781
132	333	14702
133	334	14660
134	338	14710
135	342	14766
136	350	14978
137	350	14883
138	351	14813
139	357	14944
140	357	14858
141	361	14898
142	362	14837
143	365	14858
144	368	14870
145	368	14781
146	374	14916
147	375	14837
148	375	14747
149	375	14661
150	376	14583
151	376	14498
152	377	14418
153	385	14620
154	390	14742
155	391	14674
156	392	14593
157	392	14514
158	393	14470
159	394	14405
160	395	14333
161	396	14290
162	397	14237
163	405	14421
164	406	14359
165	409	14387
166	415	14526
167	416	14467
168	417	14396
169	423	14519
170	428	14620
171	429	14547
172	429	14473
173	430	14417
174	434	14454
175	437	14465
176	445	14648
177	445	14586
178	446	14515
179	446	14445
180	447	14395
181	448	14326
182	449	14294
183	451	14258
184	455	14312
185	458	14333
186	459	14296
187	462	14312
188	468	14391
189	471	14411
190	472	14376
191	473	14323
192	481	14476
193	485	14520
194	485	14458
195	489	14482
196	489	14423
197	490	14362
198	493	14372
199	496	14409
200	497	14357
201	501	14396
202	501	14333
203	503	14292
204	503	14237
205	504	14200
206	505	14156
207	506	14099
208	509	14124
209	510	14069
210	511	14031
211	511	13972
212	512	13917
213	512	13865
214	513	13816
215	520	13927
216	527	14068
217	528	14019
218	530	13991
219	533	14023
220	534	13989
221	538	14023
222	540	13992
223	546	14100
224	547	14045
225	550	14069
226	551	14014
227	551	13961
228	553	13941
229	563	14128
230	566	14136
231	566	14085
232	571	14149
233	572	14102
234	572	14051
235	573	14003
236	574	13958
237	575	13927
238	575	13877
239	576	13827
240	582	13925
241	583	13876
242	584	13855
243	588	13876
244	593	13939
245	599	14023
246	600	13983
247	600	13933
248	601	13888
249	605	13920
250	606	13895
251	607	13853
252	612	13908
253	612	13867
254	621	14002
255	622	13957
256	622	13909
257	623	13884
258	624	13838
259	627	13857
260	628	13811
261	628	13763
262	628	13716
263	632	13751
264	633	13711
265	634	13678
266	640	13745
267	643	13769
268	649	13846
269	655	13917
270	656	13877
271	656	13832
272	660	13858
273	661	13819
274	661	13778
275	667	13844
276	668	13803
277	676	13921
278	680	13944
279	680	13904
280	681	13870
281	684	13878
282	685	13840
283	686	13807
284	691	13876
285	692	13837
286	693	13805
287	694	13770
288	694	13729
289	700	13796
290	703	13801
291	707	13822
292	707	13783
293	713	13843
294	719	13908
295	719	13874
296	722	13882
297	723	13843
298	723	13802
299	724	13767
300	730	13839
